,Name,Episodes,Release,Members,Score
2625,Uta∽Kata,12,Oct 2004 - Dec 2004,25685,6.73
824,World Trigger,73,Oct 2014 - Apr 2016,414665,7.58
3202,White Album,13,Jan 2009 - Mar 2009,121074,6.49
657,Uramichi Oniisan,13,Jul 2021 - Sep 2021,226475,7.7
1062,"Kumo desu ga, Nani ka?",24,Jan 2021 - Jul 2021,426467,7.45
224,Kuroko no Basket 2nd Season,25,Oct 2013 - Mar 2014,845669,8.21
4188,Greek Roman Sinhwa: Olympus Guardian,39,Dec 2002 - Jul 2003,1389,5.85
3464,Gowapper 5 Gordam,36,Apr 1976 - Dec 1976,974,6.36
954,Heroic Age,26,Apr 2007 - Oct 2007,110886,7.51
2301,Rilu Rilu Fairilu: Mahou no Kagami,51,Apr 2017 - Mar 2018,1964,6.89
4356,Obake Zukan,39,Jul 2020 - Mar 2021,751,5.67
2440,Tetsujin 28-gou (1980),51,Oct 1980 - Sep 1981,2320,6.82
4656,Taishou Mebiusline: Chicchai-san,12,Oct 2017 - Dec 2017,12726,4.74
3986,Egao no Daika,12,Jan 2019 - Mar 2019,37623,6.03
4155,Dolls' Frontline,12,Jan 2022 - Mar 2022,50688,5.88
4311,Bihada Ichizoku,12,Oct 2008 - Dec 2008,4959,5.73
2890,30-sai no Hoken Taiiku,12,Apr 2011 - Jun 2011,63725,6.62
4491,Koroshiya-san: The Hired Gun,10,Oct 2013 - Dec 2013,7426,5.46
2852,Mamotte Shugogetten!,22,Oct 1998 - Apr 1999,8899,6.63
3280,Time Bokan,61,Oct 1975 - Dec 1976,2731,6.44
1441,Majo to Yajuu,12,Jan 2024 -,80906,7.27
997,Ani ni Tsukeru Kusuri wa Nai!,12,Apr 2017 - Jun 2017,97748,7.48
4269,Time Bokan 24,24,Oct 2016 - Mar 2017,4901,5.79
4023,Yumemiru Topo Gigio,13,Oct 1988 - Dec 1988,1128,6.0
2255,Gate Keepers,24,Apr 2000 - Sep 2000,22275,6.92
4374,Butlers: Chitose Momotose Monogatari,12,Apr 2018 - Jun 2018,24610,5.65
4608,Pastel Memories,12,Jan 2019 - Mar 2019,20015,5.14
2461,Chou Robot Seimeitai Transformers Micron Densetsu,52,Jan 2003 - Dec 2003,9903,6.81
3764,Little Charo,50,Apr 2008 - Mar 2009,721,6.18
478,"Komi-san wa, Comyushou desu.",12,Oct 2021 - Dec 2021,863133,7.88
2985,Okusama ga Seitokaichou!+!,12,Oct 2016 - Dec 2016,168874,6.58
3980,Annyeong Jadoo,122,Jul 2011 - Feb 2016,539,6.03
1898,Kuro no Shoukanshi,12,Jul 2022 - Sep 2022,218759,7.08
2355,Qin Shi Mingyue: Zhu Zi Bai Jia,34,Jun 2011 - Aug 2011,1441,6.86
4587,Oshiri Kajiri Mushi (TV) 2nd Season,32,Sep 2013 - Mar 2014,833,5.24
2494,Tytania,26,Oct 2008 - Mar 2009,19460,6.79
725,Tsuritama,12,Apr 2012 - Jun 2012,168054,7.65
3839,Uchuujin Tanaka Tarou,24,Apr 2000 - Mar 2001,1019,6.13
169,Ashita no Joe,79,Apr 1970 - Sep 1971,90418,8.3
2391,Sengoku Basara: Judge End,12,Jul 2014 - Sep 2014,28923,6.85
