Unnamed: 0,Name,Episodes,Release,Members,Score
693,Mousou Dairinin,13.0,Feb 2004 - May 2004,413753,7.67
3651,Hayan Ma-eum Baeggu,13.0,Oct 2000 - Jan 2001,1085,6.26
312,Kanata no Astra,12.0,Jul 2019 - Sep 2019,298234,8.08
3676,Haiyoru! Nyaruani: Remember My Love(craft-sensei),11.0,Dec 2010 - Feb 2011,29013,6.24
122,Hunter x Hunter,62.0,Oct 1999 - Mar 2001,583507,8.41
4037,Eightman,56.0,Nov 1963 - Dec 1964,1987,5.99
3031,Africa no Salaryman (TV),12.0,Oct 2019 - Dec 2019,26494,6.55
512,Soul Eater,51.0,Apr 2008 - Mar 2009,1607978,7.84
2845,Nobunaga the Fool,24.0,Jan 2014 - Jun 2014,98809,6.64
2175,Strike Witches,12.0,Jul 2008 - Sep 2008,170013,6.95
1639,Kiratto Pri☆chan Season 3,51.0,Apr 2020 - May 2021,2398,7.19
420,Full Moon wo Sagashite,52.0,Apr 2002 - Mar 2003,108850,7.94
1101,Hakuouki: Reimeiroku,12.0,Jul 2012 - Sep 2012,57721,7.43
3619,Koutetsu Tenshi Kurumi 2,12.0,Apr 2001 - Jun 2001,12137,6.27
2914,Kasumin,26.0,Oct 2001 - Apr 2002,1316,6.61
1525,Petshop of Horrors,4.0,Mar 1999 - Mar 1999,67861,7.24
1369,Madou King Granzort,41.0,Apr 1989 - Mar 1990,2699,7.29
3804,Misute♡naide Daisy,12.0,Jul 1997 - Sep 1997,2050,6.15
1105,Edens Zero 2nd Season,25.0,Apr 2023 - Oct 2023,63151,7.42
3857,Akahori Gedou Hour Rabuge,13.0,Jul 2005 - Sep 2005,6196,6.12
1542,Digimon Adventure 02,50.0,Apr 2000 - Mar 2001,220805,7.23
2782,Lapis Re:LiGHTs,12.0,Jul 2020 - Sep 2020,45211,6.66
4277,Saredo Tsumibito wa Ryuu to Odoru,12.0,Apr 2018 - Jun 2018,54146,5.78
2575,Nourin,12.0,Jan 2014 - Mar 2014,189816,6.75
4260,Military!,12.0,Jan 2015 - Mar 2015,42108,5.79
4041,Heisei Tensai Bakabon,46.0,Jan 1990 - Dec 1990,844,5.98
4564,Gensou Sangokushi: Tengen Reishinki,12.0,Jan 2022 - Mar 2022,21123,5.32
2696,Tottoko Hamtarou Hai!,77.0,Apr 2006 - Mar 2008,5374,6.7
4145,Iii Icecrin,12.0,Apr 2021 - Jun 2021,518,5.89
2645,Shin Minashigo Hutch,26.0,Apr 1974 - Sep 1974,1142,6.72
4192,Youkai Ningen Bem (2006),26.0,Jan 2006 - Jul 2006,3587,5.85
4320,Aquarion Logos,26.0,Jul 2015 - Dec 2015,23289,5.71
4096,Mechakko Dotakon,28.0,Apr 1981 - Oct 1981,582,5.93
2404,Shouwa Monogatari,13.0,Apr 2011 - Jun 2011,5751,6.83
1012,Saenai Heroine no Sodatekata,12.0,Jan 2015 - Mar 2015,654164,7.48
3216,Pretty Rhythm: All Star Selection,11.0,Apr 2014 - Jun 2014,3521,6.48
1856,Kikansha no Mahou wa Tokubetsu desu,12.0,Oct 2023 - Dec 2023,94651,7.1
2472,Kannazuki no Miko,12.0,Oct 2004 - Dec 2004,70880,6.8
482,Berserk: Ougon Jidai-hen - Memorial Edition,13.0,Oct 2022 - Dec 2022,38272,7.88
385,Durarara!!x2 Shou,12.0,Jan 2015 - Mar 2015,480008,7.98
3987,Jinzou Konchuu Kabutoborg VxV,52.0,Oct 2006 - Oct 2007,910,6.03
3376,Code-E,12.0,Jul 2007 - Sep 2007,18304,6.4
3465,Hacka Doll The Animation,13.0,Oct 2015 - Dec 2015,51311,6.36
2255,Gate Keepers,24.0,Apr 2000 - Sep 2000,22275,6.92
3748,Infinite Dendrogram,13.0,Jan 2020 - Apr 2020,174902,6.19
2521,Super Robot Taisen OG: Divine Wars,25.0,Oct 2006 - Mar 2007,8024,6.78
3093,Potion-danomi de Ikinobimasu!,12.0,Oct 2023 - Dec 2023,33739,6.53
1113,Ikoku Meiro no Croisée The Animation,12.0,Jul 2011 - Sep 2011,58567,7.42
21,Kusuriya no Hitorigoto,24.0,Oct 2023 -,253268,8.81
2911,Transformers: Choujin Master Force,43.0,Apr 1988 - Mar 1989,3485,6.61
784,Eikoku Koi Monogatari Emma,12.0,Apr 2005 - Jun 2005,58151,7.61
11,Gintama.,12.0,Jan 2017 - Mar 2017,309871,8.98
2553,Sunohara-sou no Kanrinin-san,12.0,Jul 2018 - Sep 2018,149049,6.76
1949,Otoko Ippiki Gaki Daishou,156.0,Sep 1969 - Mar 1970,1282,7.06
4682,Musekinin Galaxy☆Tylor,12.0,Jul 2017 - Sep 2017,6126,3.88
1475,MÄR,102.0,Apr 2005 - Mar 2007,52293,7.25
3375,Chou Dendou Robo Tetsujin 28-gou FX,47.0,Apr 1992 - Mar 1993,1327,6.4
4289,Opus.COLORs,12.0,Apr 2023 - Jun 2023,9089,5.76
4601,Kurayami Santa,13.0,Jul 2015 - Sep 2015,2920,5.16
1705,Tetsuwan Atom (1980),52.0,Oct 1980 - Dec 1981,14241,7.16
1558,Zero no Tsukaima,13.0,Jul 2006 - Sep 2006,811434,7.22
1564,Midori no Hibi,13.0,Apr 2004 - Jun 2004,166801,7.22
3008,Hanaukyou Maid-tai,12.0,Apr 2001 - Jun 2001,32231,6.57
1781,Captain Future,52.0,Nov 1978 - Dec 1979,5053,7.14
2206,Uchi Tama?! Uchi no Tama Shirimasen ka?,11.0,Jan 2020 - Mar 2020,23616,6.94
3505,Breakers,16.0,Jan 2020 - May 2020,10541,6.33
897,Shounen Onmyouji,26.0,Oct 2006 - Mar 2007,55785,7.54
1447,Sekirei: Pure Engagement,13.0,Jul 2010 - Sep 2010,240616,7.27
3754,Maicching Machiko-sensei,95.0,Oct 1981 - Oct 1983,4009,6.19
4020,Hangyakusei Million Arthur,10.0,Oct 2018 - Dec 2018,39609,6.0
966,Shakugan no Shana III (Final),24.0,Oct 2011 - Mar 2012,236084,7.51
1048,Chou Denji Machine Voltes V,40.0,Jun 1977 - Mar 1978,8028,7.45
4588,Itazuraguma no Gloomy,12.0,Apr 2021 - Jun 2021,7998,5.24
3899,Ultraman Kids: Haha wo Tazunete 3000-man Kounen,26.0,Nov 1991 - May 1992,838,6.09
3872,Non-tan to Issho,263.0,Oct 1992 - Mar 1994,492,6.11
3955,Jantama Pong☆,11.0,Apr 2022 - Jun 2022,7672,6.05
